job_role_skill_id,job_role_id,job_post_id,skill_id,skill_name,is_required,importance_level,job_domain,exp_level
90ebdf2f-8689-443d-aa11-db62419a4acf,e4e39157-6629-4431-87dc-9c5ee06356ca,2a331255-2c12-4fc1-910a-c33f775c7301,e9b04df8-e1be-4b33-9e66-076fa63ac0e6,PostgreSQL,True,required,fullstack,intermediate
9cd75747-d760-4fe0-98b2-929d17bef445,e4e39157-6629-4431-87dc-9c5ee06356ca,2a331255-2c12-4fc1-910a-c33f775c7301,bdbda0ac-4e8c-4397-9ccc-1c7d49f624ac,JavaScript,True,required,fullstack,intermediate
5af8bb27-42be-4eb0-9a9b-d097162e53f4,e4e39157-6629-4431-87dc-9c5ee06356ca,2a331255-2c12-4fc1-910a-c33f775c7301,33cce223-93e7-4c1d-877f-828ad0730e95,TensorFlow,False,preferred,fullstack,intermediate
b04a5b3a-8af7-4e7b-a370-23cdeac4e4cf,e4e39157-6629-4431-87dc-9c5ee06356ca,2a331255-2c12-4fc1-910a-c33f775c7301,e3f8495b-2c03-498b-94c7-2af3b73c5fda,AWS,False,preferred,fullstack,intermediate
0d46dbec-f2f2-4a2c-b1fb-782d5490752a,453d76c8-c8c7-4d29-a149-77784d5654c7,2a331255-2c12-4fc1-910a-c33f775c7301,9442b4a0-2ec8-4a0b-b9fa-fa1da3f7222e,React,True,required,fullstack,intermediate
7ccbcf5d-065c-4369-9c93-43050780ad08,453d76c8-c8c7-4d29-a149-77784d5654c7,2a331255-2c12-4fc1-910a-c33f775c7301,a79c00e3-0f06-409c-ab9d-6cefd787025a,MongoDB,True,required,fullstack,intermediate
f61db875-7030-4709-83f9-8cc2cfdd5428,453d76c8-c8c7-4d29-a149-77784d5654c7,2a331255-2c12-4fc1-910a-c33f775c7301,a3230547-ad50-4063-bc66-d416acd8ee72,REST API,True,required,fullstack,intermediate
502b9250-5c79-4102-98a2-6b1e62fd7534,453d76c8-c8c7-4d29-a149-77784d5654c7,2a331255-2c12-4fc1-910a-c33f775c7301,44338055-808c-4bca-be2a-584e6c81d4db,CSS,True,required,fullstack,intermediate
a5fe8865-0692-4a64-8224-89c83fb96c0f,453d76c8-c8c7-4d29-a149-77784d5654c7,2a331255-2c12-4fc1-910a-c33f775c7301,4ece738b-4e65-486b-9916-ae2938529a51,TypeScript,True,required,fullstack,intermediate
49596bce-d764-4c88-b7fc-89797f0b48aa,d89b1258-c4a4-4b04-906a-39dc40e9b477,2a331255-2c12-4fc1-910a-c33f775c7301,a3230547-ad50-4063-bc66-d416acd8ee72,REST API,True,required,fullstack,intermediate
