freelancer_skill_id,freelancer_id,skill_id,skill_name,proficiency_level
29d0ae2a-35c7-46d0-b7ad-a2b2874642ca,84b32a31-67c4-4aa0-8506-87934d985170,eca2899d-57ee-404c-a358-1663f2ca8fc1,HTML,expert
8c638913-6ca2-4406-a916-a03fda4d486b,84b32a31-67c4-4aa0-8506-87934d985170,53f646d4-1ed9-4c9e-b3d6-0c0575687aaf,TypeScript,intermediate
7f573fea-3f4d-4e0e-9b15-aa07a40e01ab,84b32a31-67c4-4aa0-8506-87934d985170,f47a899f-a418-43e7-b6ad-49e4ac3c8fbc,CSS,intermediate
efa1512d-3823-4a23-8b90-748360b85da0,84b32a31-67c4-4aa0-8506-87934d985170,5f69fb90-2b5c-434f-a3de-46fc81321846,Tailwind CSS,intermediate
396c5d67-461f-40dc-8a8c-70c23e764382,84b32a31-67c4-4aa0-8506-87934d985170,e63feec7-d238-4834-b986-413d994b14c3,Angular,beginner
37719f6a-01e9-42a8-8284-7d0f4b13505e,84b32a31-67c4-4aa0-8506-87934d985170,b50b3438-f076-4e33-b987-a805a3efac13,Vue.js,beginner
3a817671-4d90-4fdd-b857-e8e17d3c75f2,84b32a31-67c4-4aa0-8506-87934d985170,552dabe8-07c0-4ee3-ad1e-5a530440bba8,Webpack,advanced
c4af4144-65e2-4eed-bb80-388d3af991d8,84b32a31-67c4-4aa0-8506-87934d985170,d1b285c2-fac9-422f-b96a-56cd20c33062,jQuery,advanced
75202f59-e34b-4440-b72c-dd5f3a42bac1,84b32a31-67c4-4aa0-8506-87934d985170,56e35043-699b-4786-84b2-70263700259b,React Native,advanced
ce9986bd-0d8b-46f0-b4e9-8113c13502e0,84b32a31-67c4-4aa0-8506-87934d985170,61195128-894c-4e66-acf8-520c96579861,React,expert
d0e540b2-202a-47a0-a072-17a170458cff,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,0e7e3f21-2400-42cf-9187-984a48a94dfa,Sass/SCSS,intermediate
c21f0df3-3166-44bf-8f66-01bd6eb16bad,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,53f646d4-1ed9-4c9e-b3d6-0c0575687aaf,TypeScript,expert
8441146f-98f9-42f9-bda4-69458fac742c,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,b50b3438-f076-4e33-b987-a805a3efac13,Vue.js,advanced
1cbdd992-017b-4403-9db5-544938b9d4f6,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,2f492933-4404-43ae-aff2-b7d122b692d6,JavaScript,intermediate
493e2d6f-bd3f-41ce-8634-98db57a2e76d,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,552dabe8-07c0-4ee3-ad1e-5a530440bba8,Webpack,beginner
6e91f9b9-5192-4c70-8d08-8c74b98b7083,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,23dd4605-c045-4587-88b4-e3c1f0e25aa2,Next.js,expert
8434cfc9-2d70-4baf-87b5-8972cb1c4bce,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,e63feec7-d238-4834-b986-413d994b14c3,Angular,advanced
419c5954-8c21-4431-a743-789e0e7c3d1e,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,d1b285c2-fac9-422f-b96a-56cd20c33062,jQuery,intermediate
bfad6237-ca05-4e16-8f37-56f3c39ccee2,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,2c59e71d-d264-41a0-b48b-441b80ad7881,LLM Integration,intermediate
4866f102-69cc-4192-96cf-254f4744c43d,9ec0ef9e-e68c-45c4-bfa5-3ebb9dc16d95,3fda7a4c-d334-433a-91f0-0360b687b436,NumPy,intermediate
51ec8097-5f2c-46a9-9aa7-f955e0afecad,1ab1872f-f8ef-47d2-94f9-efdcc33019b4,2f492933-4404-43ae-aff2-b7d122b692d6,JavaScript,intermediate
6adc8f73-c70e-4593-bd86-40d6107e7d9f,1ab1872f-f8ef-47d2-94f9-efdcc33019b4,23dd4605-c045-4587-88b4-e3c1f0e25aa2,Next.js,expert
fcdbc50f-189c-45d0-9364-ef697e24c610,1ab1872f-f8ef-47d2-94f9-efdcc33019b4,5f69fb90-2b5c-434f-a3de-46fc81321846,Tailwind CSS,advanced
75e46c9f-d3c1-4cdb-8500-916b21f7fca0,1ab1872f-f8ef-47d2-94f9-efdcc33019b4,b50b3438-f076-4e33-b987-a805a3efac13,Vue.js,advanced
d803ead5-13a0-4c62-8044-8311d73f7062,1ab1872f-f8ef-47d2-94f9-efdcc33019b4,e63feec7-d238-4834-b986-413d994b14c3,Angular,intermediate
df43fddb-fa9c-45da-a986-32091f6541da,1ab1872f-f8ef-47d2-94f9-efdcc33019b4,7e72c12d-0210-4b71-a88e-238b4a151e14,Machine Learning,expert
7cd9640e-8bbe-4357-a5af-083559ab508e,acf1c7d4-ab2c-4b53-9518-593cc820f7f2,db1ac8fd-7072-46d2-9a7d-bcb9e0dc2768,Android Development,intermediate
c68992a2-3199-4d6f-b90d-858e03d10a1d,acf1c7d4-ab2c-4b53-9518-593cc820f7f2,23130edb-3347-4a42-8bb0-bd1be3d3a083,Flutter,advanced
28feee42-0669-444c-8f9d-f4cef42f6d75,acf1c7d4-ab2c-4b53-9518-593cc820f7f2,6d05c17e-4d29-416b-89b5-a92916fd25c1,Dart,advanced
