freelancer_speciality_id,freelancer_id,speciality_id,speciality_name,is_primary
e76c4910-4ea4-4e8a-b8b3-88364779e6cf,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,d5f4a6f6-e049-4d54-bbe0-b66545b9ee58,Web Design,1
c417da92-8df9-4876-afac-cf822c0a0689,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,a7eaafb5-cc87-4717-9c8b-043364f0b811,UI/UX Design,1
aa86e4c0-3a1c-49f5-b89f-a2ea73f0f39c,d677ef28-61e2-4e41-b777-c268458b72ac,da1ec3ed-9334-4c82-8a40-729be17332a7,Frontend Development,1
6459b51a-3c5e-465b-ad93-e1af050d2ec2,d677ef28-61e2-4e41-b777-c268458b72ac,d5f4a6f6-e049-4d54-bbe0-b66545b9ee58,Web Design,0
231fb04f-104b-4105-a7ac-ed4e3811dfc1,d677ef28-61e2-4e41-b777-c268458b72ac,ae929648-9efc-4656-bb3e-289b8c270bb0,UI Development,0
c441827a-5572-411f-b709-89e962a91c82,93d7cdd9-6e09-403d-94f8-141e196bd172,ae929648-9efc-4656-bb3e-289b8c270bb0,UI Development,1
56b2f620-2c7a-437f-9218-1130fef27dfd,93d7cdd9-6e09-403d-94f8-141e196bd172,da1ec3ed-9334-4c82-8a40-729be17332a7,Frontend Development,0
70e1f8b6-ab40-4b25-aba0-3488a3a0a76e,6d979a99-f687-4990-9447-59cf33b6b641,8d8c10b1-83d0-44e2-9815-cca20c485b66,Full-Stack Development,1
bed5973c-28c4-4431-a442-b8ac446f2044,6d979a99-f687-4990-9447-59cf33b6b641,d46a37ae-ebcd-4e74-8186-448ebad29b53,Web Development,0
b034924e-9c28-435f-91e3-9d6b0069f0e2,9b8b972e-1b0d-4abd-afdc-dda396011462,d46a37ae-ebcd-4e74-8186-448ebad29b53,Web Development,1
1a8b8016-7b83-41b5-8bf7-53af5b68b24d,9b8b972e-1b0d-4abd-afdc-dda396011462,8d8c10b1-83d0-44e2-9815-cca20c485b66,Full-Stack Development,0
9f12dd48-e28d-4393-8169-bbd36e3b75ae,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,ae929648-9efc-4656-bb3e-289b8c270bb0,UI Development,1
97d954b1-c4ce-4a14-a731-d13d27cadc82,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,d5f4a6f6-e049-4d54-bbe0-b66545b9ee58,Web Design,0
d3f8e8a4-1446-4a31-9763-a3a6a5917079,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,da1ec3ed-9334-4c82-8a40-729be17332a7,Frontend Development,0
dd6ed97b-fa6c-4253-bea8-c06809980cd9,f00a463e-237b-4b2d-ae62-d150ad6495f4,12f210a7-a3a1-4175-96ae-0e954214d4bd,App Development,1
0eb74c91-9e1f-4f3f-adf6-eb0aedae0970,f00a463e-237b-4b2d-ae62-d150ad6495f4,5dbc4125-81fe-40ee-a640-f662cd49c892,Mobile Development,0
490970b0-f1a4-42e9-a493-690acfb9b146,12fe4c16-130e-4cdc-a04d-e1d5cb534814,820e2261-7bf5-4ffb-a72c-338945f1581d,Site Reliability,1
42d230db-0bbd-4ce9-b23d-98aaf8d0f8ee,12fe4c16-130e-4cdc-a04d-e1d5cb534814,d9dedbb9-4171-415f-bb36-29ac6ca39f7e,Cloud Infrastructure,0
2b0f24fb-c8e4-4cf5-82d7-aa2d24f34feb,12fe4c16-130e-4cdc-a04d-e1d5cb534814,b6fdedb2-5778-442e-bc2f-10062e910d61,DevOps,0
0c300ff8-abd3-489c-bc11-d29a8e687f7b,56f6d049-dbd5-4cd7-a1e9-c24972f652ad,12f210a7-a3a1-4175-96ae-0e954214d4bd,App Development,1
6fe8c8d3-edb6-4ef4-b271-8d6094a67cd4,56f6d049-dbd5-4cd7-a1e9-c24972f652ad,5dbc4125-81fe-40ee-a640-f662cd49c892,Mobile Development,0
