contract_id,job_post_id,job_role_id,proposal_id,freelancer_id,client_id,contract_title,agreed_budget,payment_structure,status,start_date
7bff42e8-2899-40e3-8866-96d9364ddbd5,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,eb090a6d-5398-4f56-9c56-b50d9e7a0991,ff82d958-7ffc-4e3a-a5a0-cac0ef18034b,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,Contract — Ml Ai Project,3669.39,full_payment,completed,2024-01-01
1302c83f-06e4-4a10-9075-0b72f378829d,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,132f1d25-a8b5-4b92-81d6-1498bc30e380,428e2b84-8214-48a1-8eca-f8fff19f8877,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,Contract — Ml Ai Project,3669.39,milestone_based,completed,2024-01-01
d4552d08-cd17-440d-b396-10ca89704f28,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,17a94c55-601c-4890-b7da-7bbbc223f2d8,496ef1d3-e82e-4ba0-9f41-fbfce5fdb2eb,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,Contract — Ml Ai Project,3669.39,full_payment,completed,2024-01-01
e15b0f50-2728-4d1d-827e-b28b5d28577e,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,50865e8e-97a0-426e-8bdf-079b5c414f5f,b995af9a-b304-4027-96bb-0b83c10aaec9,2c2f569e-b5db-44bb-a68d-3cf668ade1f8,Contract — Ml Ai Project,3669.39,full_payment,completed,2024-01-01
742889d3-4b4d-4214-8016-60a45c60ccbf,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,7b765163-1140-4e2e-a562-4555532e3fa3,a08cf8b4-7fbe-4b25-b00f-671fc4f4f860,02bf6172-7b78-4946-9bde-09011b2ad0f1,Contract — Mobile Project,707.35,milestone_based,completed,2024-01-01
f5e46112-7e33-4418-b61d-79284d296117,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,db0da2ee-2671-434a-a28c-52d163b1371c,1040914d-05bc-4ed0-a968-cc12d45fb5c5,02bf6172-7b78-4946-9bde-09011b2ad0f1,Contract — Mobile Project,707.35,milestone_based,completed,2024-01-01
0e78a913-a6ae-4fd4-97c6-c61b3a4f7508,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,205d2c54-be23-41da-b481-bcadd0db931e,7147be97-e902-41ed-9398-eaec3611bd6b,02bf6172-7b78-4946-9bde-09011b2ad0f1,Contract — Mobile Project,707.35,milestone_based,completed,2024-01-01
04de2031-b729-41ec-b1b1-b271188b5952,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,a31143cd-48c5-4a49-8450-ff323ed28f58,dcfe345a-c673-41d0-93fd-db7f4ab5394a,02bf6172-7b78-4946-9bde-09011b2ad0f1,Contract — Mobile Project,707.35,full_payment,completed,2024-01-01
43d487ba-b83b-465a-a3ed-db92eb8d784f,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,df21b192-124a-4eca-9ad3-d54b1a5c9518,39d6ea95-5a73-45c1-86c5-8b893ff8b7f6,02bf6172-7b78-4946-9bde-09011b2ad0f1,Contract — Mobile Project,707.35,milestone_based,active,2024-01-01
4d94ef03-2e29-481a-9f0b-8460887173ad,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,67bbeab7-702e-48a7-8a84-85bbc115f4e2,2b8f52e1-f52a-4d4a-8a34-6e17a709a220,02bf6172-7b78-4946-9bde-09011b2ad0f1,Contract — Mobile Project,707.35,milestone_based,cancelled,2024-01-01
