freelancer_language_id,freelancer_id,language_id,language_name,proficiency_level
ae692364-08b7-4521-956f-dbd21e063c51,ff3bb0e9-b5db-4ce2-9d45-3a4e5fa7ede9,aa1ad047-3abe-491d-8707-92b0b1a72e57,Spanish,native
8e77a6ff-56cf-4a5d-9051-00b8c9b21ba6,27ba6c85-5d8b-43a5-95e0-9a5ceddf2e51,f0038099-c3a5-432d-8a20-ab84e08b8d60,Dutch,native
ebb03832-6798-4b9c-8456-cc3fe0df834e,d677ef28-61e2-4e41-b777-c268458b72ac,622827db-daea-4f19-ba7c-d83a78a5d8c3,Indonesian,native
2560a9cd-5e44-4a63-80b8-4488df1652ca,d677ef28-61e2-4e41-b777-c268458b72ac,f0038099-c3a5-432d-8a20-ab84e08b8d60,Dutch,conversational
2571c26f-8f89-4327-89f7-2126e78081f9,d677ef28-61e2-4e41-b777-c268458b72ac,4bc4c50c-1e63-4872-b3a1-11f8ee03bb04,Portuguese,fluent
563328a4-5b9e-43f3-8cec-4128d2cee226,93d7cdd9-6e09-403d-94f8-141e196bd172,622827db-daea-4f19-ba7c-d83a78a5d8c3,Indonesian,native
7f8a4676-4518-43ec-801b-615cc3a3ec1e,6d979a99-f687-4990-9447-59cf33b6b641,622827db-daea-4f19-ba7c-d83a78a5d8c3,Indonesian,native
3d29c803-2216-489a-a5ea-e5117687a4eb,6d979a99-f687-4990-9447-59cf33b6b641,e0fc4856-2bb0-4995-8396-aec8c691d12a,Mandarin,basic
caa27eba-e9ff-4f34-9352-cf65b205cf00,9b8b972e-1b0d-4abd-afdc-dda396011462,622827db-daea-4f19-ba7c-d83a78a5d8c3,Indonesian,native
d3c762af-400b-4a0b-bd6b-60cfa0aba870,d5cc99ca-0f8b-4e2f-bc99-b8287784828b,622827db-daea-4f19-ba7c-d83a78a5d8c3,Indonesian,native
