proposal_id,job_post_id,job_role_id,freelancer_id,proposed_budget,status
eb090a6d-5398-4f56-9c56-b50d9e7a0991,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,ff82d958-7ffc-4e3a-a5a0-cac0ef18034b,3048.12,accepted
f4baec04-23d7-4704-8680-fb5171cc1e29,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,dd667acc-1d35-4b7b-a695-df60e1e37409,3556.9,rejected
132f1d25-a8b5-4b92-81d6-1498bc30e380,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,428e2b84-8214-48a1-8eca-f8fff19f8877,3090.87,accepted
2559d972-ecfa-47e8-9ad1-9c637a29fc79,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,f32c705e-762f-455d-988b-e1ad38836a50,4030.1,withdrawn
17a94c55-601c-4890-b7da-7bbbc223f2d8,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,496ef1d3-e82e-4ba0-9f41-fbfce5fdb2eb,3329.16,accepted
50865e8e-97a0-426e-8bdf-079b5c414f5f,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,b995af9a-b304-4027-96bb-0b83c10aaec9,3980.01,accepted
6d73a207-9c72-4d4a-8649-bfb398543719,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,a0599347-2da1-4a36-aa85-e9dbbb1e36e3,3672.51,rejected
d6782e62-fa24-4283-982a-9f00502eb86b,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,e6948fb8-ee92-44fb-860e-3d249749b833,4343.78,rejected
93f58eb1-7742-404c-a1f1-5898c9c6645c,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,9026a584-0b63-4c06-91cc-93397f295274,3556.23,rejected
3d4f4828-4c78-4dac-afbb-ef3e026cb1d6,cf225b47-aa3e-477f-9348-24c51767e758,e25a6041-f33e-4962-81be-ae3ce776629a,2dc32538-68fb-41b3-ba2f-e01b559266ff,3700.31,rejected
7b765163-1140-4e2e-a562-4555532e3fa3,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,a08cf8b4-7fbe-4b25-b00f-671fc4f4f860,685.1,accepted
fae23f26-cc79-426f-979d-d69e5a2709db,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,11a6722d-b1d7-40ee-9d86-c21ffd4f5345,633.5,rejected
db0da2ee-2671-434a-a28c-52d163b1371c,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,1040914d-05bc-4ed0-a968-cc12d45fb5c5,746.74,accepted
205d2c54-be23-41da-b481-bcadd0db931e,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,7147be97-e902-41ed-9398-eaec3611bd6b,822.37,accepted
a31143cd-48c5-4a49-8450-ff323ed28f58,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,dcfe345a-c673-41d0-93fd-db7f4ab5394a,670.98,accepted
df21b192-124a-4eca-9ad3-d54b1a5c9518,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,39d6ea95-5a73-45c1-86c5-8b893ff8b7f6,602.28,accepted
db4766c6-6722-4051-87e9-ceb48661c8e5,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,4e60c551-eac9-435a-a1ca-4840baa55c2a,693.5,rejected
67bbeab7-702e-48a7-8a84-85bbc115f4e2,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,2b8f52e1-f52a-4d4a-8a34-6e17a709a220,654.13,accepted
f90e34a4-dc02-48e7-a00b-078477778548,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,e3fb9177-229d-422d-94e3-4e2f79f0914b,722.47,rejected
be159654-c443-46fe-b3aa-44ea9ff202c6,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,d531a0a5-e6b7-409e-9b2f-1b0b2bfc03c6,727.46,rejected
c464143c-6908-424e-9e40-771e01c69796,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,19a96817-9f36-4e19-b811-ec94e32770c8,743.42,rejected
efee603a-a6c0-4efb-b1ec-cc2872ccfec7,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,77275936-3937-4c2e-99d1-9a7e893e4a30,775.12,rejected
1c0a6d60-1ba6-4f5d-bdef-c09dea927331,d378a672-fef6-47f8-8cc6-e4494db82cee,97c2470f-9bc3-4651-9868-5c8b9e77168f,b44f658d-75f1-4215-8d0d-f12e6f07ca74,686.09,accepted
d64de91c-af3d-47b0-83eb-756e2d4f4246,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,2c379236-cbf5-41a8-aec1-753bc8b6ffed,6413.56,accepted
3f109e26-b887-49aa-b4c7-0fa1d1ae2329,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,75e75db4-32b0-42d9-9392-fb1507544e19,5708.43,accepted
af0f3a83-8f2b-4415-8db5-eb8714566975,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,bc8e3326-8c94-40a2-9a37-17ba927a2a11,6888.3,rejected
8f32ed60-8bb0-45aa-998c-c7fddba7fba1,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,eafd1606-bb0c-44b9-9d98-e08d213b10e4,7069.32,accepted
e8783968-f2d5-4c85-9657-49b25dc0430e,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,f18ae44d-1636-4432-b923-4f5b277bfacb,6710.74,accepted
2e29ac6e-44d3-4c87-84dd-dbca61c6ea84,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,8d2229f4-4313-4b5d-b9eb-d84cfa2d4faf,6975.8,accepted
7ce53b15-114d-4348-b1ec-e54f312c20c6,524b9d7a-59aa-4fe4-bb8d-8356125cca9b,4d189f2d-81c0-4c31-a890-8b38d9ed277d,aeaecf4a-5e75-4cfc-93e7-4cb590c4942d,6608.15,withdrawn
